SubTask,Instruction,molecule
MR,Optimize the molecule O=c1c(Cl)cn(Cc2ccccc2)c(=O)n1Cc1ccccc1 to have a higher MR value.,O=c1c(Cl)cn(Cc2ccccc2)c(=O)n1Cc1cccc(-c2ccccc2)c1
QED,Please modify the molecule O=C(Cn1cnc2c(cc(-c3ccccc3)n2-c2ccc(F)cc2)c1=O)c1ccccc1 to increase its QED value.,N#Cc1ccc(-n2c(-c3ccccc3)cc3c(=O)n(CC(=O)c4ccccc4)cnc32)cc1
LogP,Modify the molecule CC(C)[NH2+]Cc1ccc(Cl)cc1-c1cc(F)cc(F)c1 to have a lower LogP value.,CC(C)[NH2+]Cc1ccc(C(=O)[OH])cc1-c1cc(F)cc(F)c1
MR,Please modify the molecule COCCN(CCOC)C(=O)N1CC[NH+](Cc2ccccc2)CC1 to increase its MR value.,CC(NC(=O)N1CCCN(c2ccc(C#N)cc2)CC1)c1nc(C2CC2)no1
QED,Please modify the molecule CC1C[NH2+]CCN1C(=O)NCC1CC(F)(F)C1 to decrease its QED value.,CCCCC1([NH2+]C(C)c2ccccc2)CCOCC1
LogP,Modify the molecule O=C(CCCc1ccccc1Br)c1ccc(Oc2cc3c(cc2Cl)C(C(=O)[O-])CCO3)cc1 to decrease its LogP value.,O=C(CCCc1ccccc1)c1ccc(Oc2cc3c(cc2Cl)C(C(=O)[O-])CCO3)cc1
MR,Modify the molecule CC(NC(=O)N1CCCN(c2ccc(F)cc2)CC1)c1nc(C2CC2)no1 to increase its MR value.,CC(NC(=O)N1CCCN(c2ccc(C#N)cc2)CC1)c1nc(C2CC2)no1
QED,Optimize the molecule CCCCC(=O)NCC1([NH2+]C(C)c2ccccc2)CCOCC1 to have a higher QED value.,CCCCC1([NH2+]C(C)c2ccccc2)CCOCC1
LogP,Optimize the molecule Brc1cnc2nc(CNc3nc4ccccc4o3)[nH]c2c1 to have a lower LogP value.,Cc1ccc(C(=O)NC2(CNO)CCC(C)CC2)c(Cl)c1
MR,Modify the molecule COc1ccc(C2=NN(C3=[NH+]C(=O)CS3)C(c3cc4ccccc4nc3Cl)C2)cc1 to have a lower MR value.,COc1ccc(C2=NN(CS)C(c3cc4ccccc4nc3Cl)C2)cc1
QED,Please optimize the molecule O=C(NCCOc1ccc(Cl)cn1)C1CCS(=O)(=O)C1 to have a lower QED value.,[NH3+]CCn1cnc(C(=O)NCC2CCC2)c1
LogP,Please modify the molecule Cc1ccc(C(=O)NC2(CBr)CCC(C)CC2)c(Cl)c1 to decrease its LogP value.,Cc1ccc(C(=O)NC2(CNO)CCC(C)CC2)c(Cl)c1
MR,Modify the molecule CC(C)(C)C(=O)OCC1OC(Oc2ccc(CCC(=O)OCc3ccccc3)cc2)C(O)C(OC(=O)C(C)(C)C)C1O to have a lower MR value.,CC(C)(C)C(=O)OCC1OC(Oc2ccc(CCC(=O)OCc3ccccc3)cc2)CC(OC(=O)C(C)(C)C)C1O
QED,Please modify the molecule [NH3+]CCn1cnc(C(=O)NCC2(O)CCC2)c1 to increase its QED value.,[NH3+]CCn1cnc(C(=O)NCC2CCC2)c1
LogP,Please modify the molecule CCC(C)C(CC(=O)c1cc2cccc(F)c2[nH]1)C(=O)N1CC2CC1CN2C(=O)c1nc2ccccc2[nH]1 to increase its LogP value.,CCC(C)C(CC(=O)c1cc2cccc(S)c2[nH]1)C(=O)N1CC2CC1CN2C(=O)c1nc2ccccc2[nH]1
MR,Modify the molecule CCOc1cc(C=C2NC(=O)N(Cc3cccc(C)c3)C2=O)c(Br)cc1OCc1cccc(C)c1 to decrease its MR value.,CCOc1cc(C=C2NC(=O)N(Cc3cccc(C)c3)C2=O)c(NO)cc1OCc1cccc(C)c1
QED,Optimize the molecule CC1CN(C(=O)CCCc2cccs2)CCO1 to have a lower QED value.,CC(C)C(=O)N1CCC(CNC(=O)c2ccno2)(c2ccccc2)CC1
LogP,Please modify the molecule Cc1cc2ccccc2n1CC(=O)NC(C)c1cccc(Cl)c1 to decrease its LogP value.,Cc1cc2ccccc2n1CC(=O)NC(C)c1cccc(C#N)c1
MR,Optimize the molecule COc1ccccc1CC(=O)N1CC2CC(C)CC(O)(c3ccccc3OC)C2C1 to have a lower MR value.,COCC1CCCN(C(C[NH3+])c2ccc(NO)cc2Br)C1
QED,Please modify the molecule CC(C)C(=O)N1CCC(CNC(=O)c2ccno2)CC1 to decrease its QED value.,CC(C)C(=O)N1CCC(CNC(=O)c2ccno2)(c2ccccc2)CC1
LogP,Modify the molecule CCC(CC)(c1ccc(CNCCS(C)(=O)=O)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1 to have a lower LogP value.,CC(C)Oc1ccc(C[NH2+]CC(=O)Nc2ccc(C(=O)NCc3ccccc3)c(-c3ccccc3)c2)cc1
MR,Modify the molecule COCC1CCCN(C(C[NH3+])c2ccc(F)cc2Br)C1 to have a higher MR value.,COCC1CCCN(C(C[NH3+])c2ccc(NO)cc2Br)C1
QED,Modify the molecule O=C(N1CCC(O)(c2ccccc2CO)C1)C1(c2ccc(Cl)cc2)CC1 to have a higher QED value.,CCn1c(C)c(C(=O)C(C)N(CCC(C)C)C(=O)c2ccco2)c(CO)c1C(=O)OC
LogP,Please modify the molecule CC(C)Oc1ccc(C[NH2+]CC(=O)Nc2ccc(C(=O)NCc3ccccc3)cc2)cc1 to increase its LogP value.,CC(C)Oc1ccc(C[NH2+]CC(=O)Nc2ccc(C(=O)NCc3ccccc3)c(-c3ccccc3)c2)cc1
MR,Modify the molecule CN=C(C)C(=C[NH3+])c1ccc([NH+]=C(N)C2=C([NH2+]C3CCOC3)CCN(C(C)=O)C2)c(F)c1 to have a higher MR value.,CN=C(C)C(=C[NH3+])c1ccc([NH+]=C(N)C2=C([NH2+]C3CCOC3)CCN(C(C)=O)C2)c(C#N)c1
QED,Modify the molecule CCn1c(C)c(C(=O)C(C)N(CCC(C)C)C(=O)c2ccco2)c(C)c1C(=O)OC to increase its QED value.,CCn1c(C)c(C(=O)C(C)N(CCC(C)C)C(=O)c2ccco2)c(CO)c1C(=O)OC
LogP,Optimize the molecule C[NH+]=C(NCc1ccccc1-n1nc(C)cc1C)NCC1C[NH+](CC(C)C)CCO1 to have a lower LogP value.,CCOC(=O)CSCC(O)C(CC1CCCCC1)N(C(=O)C([NH3+])Cc1cn(C(=O)OC(C)(C)C)cn1)C(=O)C(C)NC(=O)OC(C)(C)C
MR,Please optimize the molecule CCOCCOC(=O)c1ccc(N2C(=O)C(O)=C(c3ccc(F)cc3)C2c2ccc([N+](=O)[O-])o2)cc1 to have a higher MR value.,CCOCCOC(=O)c1ccc(N2C(=O)C(O)=C(c3ccccc3)C2c2ccc([N+](=O)[O-])o2)cc1
QED,Modify the molecule C=CCC1C=C(F)C=CCn2c(c[nH+]c2SCc2ccc(S(N)(=O)=O)cc2Cl)C1(C)c1cc(Cl)c(OC)c(Cl)c1 to have a lower QED value.,C=CCC1C=C(F)C=CCn2c(c[nH+]c2SCc2ccc([SH](=O)=O)cc2Cl)C1(C)c1cc(Cl)c(OC)c(Cl)c1
LogP,Please modify the molecule CCOC(=O)CSCC(O)C(CC1CCCCC1)N(C(=O)C([NH3+])Cc1cn(C(=O)OC(C)(C)C)cn1)C(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C to decrease its LogP value.,CCOC(=O)CSCC(O)C(CC1CCCCC1)N(C(=O)C([NH3+])Cc1cn(C(=O)OC(C)(C)C)cn1)C(=O)C(C)NC(=O)OC(C)(C)C
MR,Modify the molecule COC(=O)c1ccc(C=CC(=O)NCCN2C(=O)SC(=Cc3ccc(C)cc3)C2=O)cc1 to decrease its MR value.,Cc1ccc(C2=NC3(CCN(S(=O)(=O)C(O)c4ccccc4)CC3)NC2=O)cc1
QED,Optimize the molecule Cc1cc(CN(C)C(=O)C[NH+]2CCN(C)C(=O)C2)no1 to have a lower QED value.,Cc1cc(CN(C)C(=O)C[NH+]2CC2C)no1
LogP,Optimize the molecule COC(=O)CC(c1cccc2cccnc12)C1C(C)NNC1O to have a higher LogP value.,COC(=O)CC(c1cccc2cccnc12)C1C(C)NC1O
MR,Optimize the molecule Cc1ccc(C2=NC3(CCN(S(=O)(=O)Cc4ccccc4)CC3)NC2=O)cc1 to have a higher MR value.,C=Cc1ccc([N+](=O)[O-])c(OC(C)(C)O)n1
QED,Please modify the molecule COc1cc(C=NNc2nc(=O)c(C(C)(C)C)n[nH]2)cc([N+](=O)[O-])c1[O-] to decrease its QED value.,COc1cc(C=NNc2nc(=O)c(C(C)(C)C)n[nH]2)cc([SH]=O)c1[O-]
LogP,Please optimize the molecule O=C([O-])c1cc(O)c2cc(C(=O)[O-])cc(O)c2c1 to have a higher LogP value.,O=C([O-])c1cc(O)c2cc(C(=O)[O-])ccc2c1
MR,Modify the molecule C=Cc1ccc([N+](=O)[O-])c(OC(C)C)n1 to increase its MR value.,CC(=O)c1ccc(N2CCN(C(=O)CNC(=O)c3sc(-c4ccc(C)o4)nc3C)CC2)cc1
QED,Please optimize the molecule CC(C)(C)OC(=O)N1CC[NH+](CC(O)COc2cccc3[nH]c4ccccc4c23)CC1 to have a lower QED value.,Cc1cccc([NH+]=CSCCOc2ccc(Cl)cc2)c1
LogP,Modify the molecule COC(Cn1c(=O)[nH]c2ccccc2c1=O)c1ccc(C#Cc2ccccc2)cc1Cl to have a lower LogP value.,COC(Cn1c(=O)[nH]c2ccccc2c1=O)c1ccc(C#Cc2ccccc2)cc1
MR,Please optimize the molecule Cc1ccc(-c2nc(C)c(C(=O)NCC(=O)N3CCN(c4ccc(Cl)cc4)CC3)s2)o1 to have a higher MR value.,CC(=O)c1ccc(N2CCN(C(=O)CNC(=O)c3sc(-c4ccc(C)o4)nc3C)CC2)cc1
QED,Modify the molecule Cc1cccc([NH+]=C(N)SCCOc2ccc(Cl)cc2)c1 to have a lower QED value.,Cc1cccc([NH+]=CSCCOc2ccc(Cl)cc2)c1
LogP,Optimize the molecule Cc1cnccc1NS(=O)(=O)c1cc(Br)cc(N)c1C to have a lower LogP value.,C#CCC(NC(=O)CC1C[NH2+]CC(c2ccccc2)C1)C(=O)[O-]
MR,Modify the molecule COc1ccc(-n2nnc(C(=O)NC(C(=O)[O-])C3CC3)c2C)cc1 to decrease its MR value.,COn1nnc(C(=O)NC(C(=O)[O-])C2CC2)c1C
QED,Please modify the molecule CC(C)(CO)CC1(C)CCCC1 to decrease its QED value.,CCCCOC(=O)c1ccccc1N1C(=O)C(O)=C(c2ccc(OCCC)cc2)C1c1ccc(O)cc1
LogP,Modify the molecule C#CCC(NC(=O)CC1CCC[NH2+]C1)C(=O)[O-] to increase its LogP value.,C#CCC(NC(=O)CC1C[NH2+]CC(c2ccccc2)C1)C(=O)[O-]
MR,Modify the molecule CC(C)(C)C1CCc2c(sc(NC(=O)CCSc3nc(N)c(C#N)c(-c4cccs4)c3C#N)c2C#N)C1 to decrease its MR value.,CC(C)(C)C1CCc2c(sc(NC(=O)CCSc3nc(N)cc(-c4cccs4)c3C#N)c2C#N)C1
QED,Modify the molecule CCCCOC(=O)c1ccccc1N1C(=O)C(O)=C(c2ccc(OCCC)cc2)C1c1ccc(O)c(Cl)c1 to increase its QED value.,CCc1nccc(-c2cnn(CC)c2)n1
LogP,Modify the molecule CC(=O)N1CCN(C(=O)CCN(Cc2ccco2)c2nc(Cc3ccc(F)cc3)ns2)CC1 to have a lower LogP value.,CC(=O)N1CCN(C(=O)CCN(Cc2ccco2)c2nc(Cc3ccc(F)cc3)ns2)CC1O
MR,Modify the molecule COC(C)CCC(=O)Nc1ccc(C#CCO)c(F)c1 to increase its MR value.,CC(=O)c1cc(NC(=O)CCC(C)OC)ccc1C#CCO
QED,Please modify the molecule CCc1nc(Br)cc(-c2cnn(CC)c2)n1 to decrease its QED value.,CCc1nccc(-c2cnn(CC)c2)n1
LogP,Modify the molecule CC(CO)Nc1cnc(C(C)C)nc1C(=O)[O-] to have a lower LogP value.,CC(CO)Nc1c(N)nc(C(C)C)nc1C(=O)[O-]
MR,Please modify the molecule N#CC1(c2cc(F)cc(F)c2)CCN(C(=O)[O-])CC1 to increase its MR value.,CC(=O)c1cc(F)cc(C2(C#N)CCN(C(=O)[O-])CC2)c1
QED,Please optimize the molecule Clc1cc2nc(CCC(c3ccc(Br)cc3)C3CC[NH+](Cc4ccccc4)CC3)[nH]c2cc1Cl to have a higher QED value.,Clc1ccc2[nH]c(CCC(c3ccc(Br)cc3)C3CC[NH+](Cc4ccccc4)CC3)nc2c1
LogP,Please modify the molecule CCNc1ccc(C(=O)N2CCC(OCC)CC2)cn1 to decrease its LogP value.,CCNc1ccc(C(=O)N2CCC(OCC)C(S)C2)cn1
MR,Modify the molecule CNc1ncnc2ccc(-c3ccc(CNc4ncccc4C(=O)NCC4=CCC(F)C(F)=C4)s3)cc12 to have a higher MR value.,CNc1ncnc2ccc(-c3ccc(CNc4ncccc4C(=O)NCC4=CCC(O)C(F)=C4)s3)cc12
QED,Modify the molecule CCCN(C(C)=O)c1cc(N2CC[NH+](C)CC2)ccc1S(=O)(=O)c1ccccc1 to have a lower QED value.,CCCN(C(C)=O)c1cc(N2CC[NH+](C)CC2)ccc1[SH](=O)=O
LogP,Optimize the molecule COc1ccc(CNc2ccc(OC)cc2CO)cc1 to have a lower LogP value.,COc1ccc(CNc2cc(O)c(OC)cc2CO)cc1
MR,Optimize the molecule CCc1cccc2sc(N(CC[NH+](CC)CC)C(=O)c3ccn(C)n3)nc12 to have a lower MR value.,CCc1cccc2sc(-n3n(C)ccC3C[NH+](CC)CC)nc12
QED,Modify the molecule FC(F)COCC[NH2+]CC1CCC=CO1 to decrease its QED value.,FCCOCC[NH2+]CC1CCC=CO1
LogP,Optimize the molecule O=[N+]([O-])c1c(OC(F)(F)F)cccc1S(=O)(=O)Cl to have a lower LogP value.,O=[N+]([O-])c1c(OC(F)F)cccc1S(=O)(=O)Cl
MR,Please optimize the molecule CC(C)C(=O)Nc1ccc(C(=O)COC(=O)c2cc(Cl)ccc2F)cc1 to have a higher MR value.,CC(C)C(=O)Nc1ccc(C(=O)COC(=O)c2cc(NO)ccc2F)cc1
QED,Modify the molecule CCc1nnc(C2CN(S(=O)(=O)c3ccc4c(c3)CCC(=O)N4)CCO2)o1 to decrease its QED value.,CCc1nnc(C2CN(S(=O)(=O)c3ccc4c(c3)CC(c3ccccc3)C(=O)N4)CCO2)o1
LogP,Modify the molecule COCc1noc(C[NH+]2CC(O)C(Cc3cc(C)[nH]n3)C2)n1 to increase its LogP value.,COCc1noc(C[NH+]2CC(O)C(C(c3ccccc3)c3cc(C)[nH]n3)C2)n1
MR,Modify the molecule N#CC(=Cc1ccc(OCc2ccc(F)cc2)cc1)c1ccccc1F to have a lower MR value.,Fc1ccc(COc2ccc(C=Cc3ccccc3F)cc2)cc1
QED,Modify the molecule Clc1ccc(CCC[NH2+]CCc2ccccc2)cc1Cl to have a higher QED value.,N#Cc1ccc(CCC[NH2+]CCc2ccccc2)cc1Cl
LogP,Please optimize the molecule CCn1ccc(-c2cc(=O)n3[nH]cc(-c4ccccc4)c3n2)n1 to have a lower LogP value.,CCn1nc(-c2cc(=O)n3[nH]cc(-c4ccccc4)c3n2)cc1O
MR,Please modify the molecule CCC1Oc2ccc(C([NH3+])CC(C)C)cc2N(CCO)C1=O to increase its MR value.,CCC1Oc2ccc(C([NH3+])CC(C)C)cc2N(CCC#N)C1=O
QED,Please optimize the molecule Cc1nc(CNC(=O)NCC(C)(O)C(=O)[O-])oc1C to have a higher QED value.,CC(OC1CCC(C[NH+](C)CCCC(=O)[O-])C1c1ccc(F)cc1)c1cc(C(F)F)cc(C(F)(F)F)c1
LogP,Optimize the molecule C#CCC(CC)[NH2+]CCCC(F)(F)F to have a lower LogP value.,C#CCC(CC)[NH2+]CCCC(O)(F)F
MR,Please optimize the molecule COC(=O)CCc1c(C)nn(-c2ccc(C(=O)OC(C)C(=O)NC3CC3)cc2)c1C to have a lower MR value.,COC(=O)CCc1c(C)nn(-c2ccc(C(=O)OCC3CC3)cc2)c1C
QED,Please modify the molecule CC(OC1CCC(C[NH+](C)CCCC(=O)[O-])C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1 to decrease its QED value.,CC(OC1CCC(C[NH+](C)CCCC(=O)[O-])C1c1ccc(F)cc1)c1cc(C(F)F)cc(C(F)(F)F)c1
LogP,Please optimize the molecule CCC(N=C(NC#N)SC)C(C)C to have a lower LogP value.,CCC(N=C(NO)SC)C(C)C
MR,Please modify the molecule CC(C)CN(C)c1cc(N2CC[NH2+]C(C)C2)ncn1 to increase its MR value.,CCCC(CCC)C(=O)Nc1ccn(C2OC3CO[P+](O)(NC(CC)NO)OC3C2(C)O)c(=O)n1
QED,Please optimize the molecule COc1cccc(CNC(=O)C[NH+](C)CC2CC(O)C2)c1 to have a higher QED value.,COc1ccc([N+](=O)[O-])cc1NC(=O)C[NH+](Cc1ccco1)Cc1cc(O)co1
LogP,Modify the molecule CC(C)(CCCCCC(O)(O)CCC(C)(C)S(=O)(=O)[O-])S(=O)(=O)[O-] to increase its LogP value.,CCc1cc(COc2cc(CNO)ccc2OC)n(CC)n1
MR,Please modify the molecule CCCC(CCC)C(=O)Nc1ccn(C2OC3CO[P+](O)(NC(CC)C(=O)O)OC3C2(C)O)c(=O)n1 to decrease its MR value.,CCCC(CCC)C(=O)Nc1ccn(C2OC3CO[P+](O)(NC(CC)NO)OC3C2(C)O)c(=O)n1
QED,Modify the molecule COc1ccc([N+](=O)[O-])cc1NC(=O)C[NH+](Cc1ccco1)Cc1ccco1 to have a lower QED value.,COc1ccc([N+](=O)[O-])cc1NC(=O)C[NH+](Cc1ccco1)Cc1cc(O)co1
LogP,Please modify the molecule CCc1cc(COc2cc(CO)ccc2OC)n(CC)n1 to decrease its LogP value.,CCc1cc(COc2cc(CNO)ccc2OC)n(CC)n1
MR,Please modify the molecule CN(c1ccc(CC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)cc1)S(=O)(=O)c1ccc(Cl)cc1 to decrease its MR value.,CN(c1ccc(-c2cc(Cl)ccc2Oc2ccccc2)cc1)S(=O)(=O)c1ccc(Cl)cc1
QED,Please modify the molecule CCCCCCCCCCCN1CCCC1=O to decrease its QED value.,CC(CC(=O)[O-])Nc1ccc(C(=O)[OH])c(F)c1
LogP,Optimize the molecule CCc1cc(Nc2cc(=O)n(CCCC[NH+]3CCN(c4cc5c(cc4F)c(=O)c(C(=O)[O-])cn5C4CC4)C(C)C3)c(=O)[nH]2)ccc1C to have a lower LogP value.,Cc1ccc(NC(=O)C(Sc2ccc(NC(=O)c3ccccc3)cc2)c2ccccc2)c(C)c1
MR,Optimize the molecule Brc1cncc(N2CCn3ccnc3C2)c1 to have a lower MR value.,c1cncc(N2CCn3ccnc3C2)c1
QED,Please optimize the molecule CC(CC(=O)[O-])Nc1ccc(Br)c(F)c1 to have a lower QED value.,CC(CC(=O)[O-])Nc1ccc(C(=O)[OH])c(F)c1
LogP,Optimize the molecule Cc1ccc(NC(=O)C(Sc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccccc2)c(C)c1 to have a lower LogP value.,Cc1ccc(NC(=O)C(Sc2ccc(NC(=O)c3ccccc3)cc2)c2ccccc2)c(C)c1
MR,Optimize the molecule CC1CN(C(C[NH3+])c2cccc(C3CC3)c2)CC(C)(C)O1 to have a higher MR value.,CC1CN(C(O)(C[NH3+])c2cccc(C3CC3)c2)CC(C)(C)O1
QED,Modify the molecule CC(=NCC[NH+](C)C)c1ccc(C)cc1O to decrease its QED value.,CC(CO)=NCC[NH+](C)C
LogP,Modify the molecule N#CCCn1c(=O)[nH]c2sc3c(c2c1=O)CCCC3 to increase its LogP value.,O=c1[nH]c2sc3c(c2c(=O)n1CCS)CCCC3
MR,Modify the molecule CCC(C)(C)[NH2+]Cc1ccc(Br)c(F)c1 to have a higher MR value.,O=S(=O)(NN1CCCCC1)c1cnc2[nH]cccc1-2
QED,Optimize the molecule O=C(NCc1ccc2c(c1)OCO2)C1=CCC(=O)N(c2ccccc2)N1 to have a lower QED value.,Nc1cccc(N2NC(C(=O)NCc3ccc4c(c3)OCO4)=CCC2=O)c1
LogP,Optimize the molecule Cc1ccc(F)c(C(O)c2cc3ccccc3s2)c1 to have a higher LogP value.,COC1C=COC2(C)Oc3c(C)c([O-])c4c(c3C2=O)C(=O)C([NH+]2CCC(C3CCCN(c5c(F)cn6c(=O)c(C(=O)[O-])cc(C7CC7)c6c5C)C3)C2)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)CC(C)C(OC(C)=O)C1C)C4=O
MR,Optimize the molecule O=S(=O)(Nc1ccccc1N1CCCCC1)c1cnc2[nH]cccc1-2 to have a lower MR value.,O=S(=O)(NN1CCCCC1)c1cnc2[nH]cccc1-2
QED,Modify the molecule O=C(Nc1ccccc1)c1ccc(NC2CC2c2ccc(F)cc2)nn1 to have a lower QED value.,[NH3+]C(=C(C(=O)[OH])c1cccs1)c1cccc(Br)c1
LogP,Modify the molecule COC1C=COC2(C)Oc3c(C)c([O-])c4c(c3C2=O)C(=O)C([NH+]2CCC(C3CCCN(c5c(F)cn6c(=O)c(C(=O)[O-])cc(C7CC7)c6c5C)C3)C2)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O to have a higher LogP value.,COC1C=COC2(C)Oc3c(C)c([O-])c4c(c3C2=O)C(=O)C([NH+]2CCC(C3CCCN(c5c(F)cn6c(=O)c(C(=O)[O-])cc(C7CC7)c6c5C)C3)C2)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)CC(C)C(OC(C)=O)C1C)C4=O
MR,Please modify the molecule CC[NH2+]CCCNS(=O)(=O)c1ccc(Cl)cc1C(F)(F)F to increase its MR value.,CC[NH2+]CCCNS(=O)(=O)c1cc(N)c(Cl)cc1C(F)(F)F
QED,Please optimize the molecule N#CC(=C([NH3+])c1cccc(Br)c1)c1cccs1 to have a higher QED value.,[NH3+]C(=C(C(=O)[OH])c1cccs1)c1cccc(Br)c1
LogP,Modify the molecule CCn1c(=C(C#N)C(=O)NCC(F)F)sc(=CNc2ccc(F)c(NC(=O)C[NH+]3CCOCC3)c2)c1=O to have a lower LogP value.,CCCC1CCC([NH2+]C(C)CF)CC1
MR,Please modify the molecule CCCCC(=O)c1cc(C)ccc1C(C)CCO to increase its MR value.,ONc1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1
QED,Modify the molecule Fc1ccc(C[NH+]2CC=CC2)cc1 to decrease its QED value.,CN(C)C(=O)CCNC(=O)c1cncnc1
LogP,Optimize the molecule CCCC1CCC([NH2+]C(C)Cc2cccc(F)c2)CC1 to have a lower LogP value.,CCCC1CCC([NH2+]C(C)CF)CC1
MR,Optimize the molecule Oc1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1 to have a higher MR value.,ONc1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1
QED,Optimize the molecule CN(C)C(=O)CCNC(=O)c1cnc(-c2ccccc2)nc1 to have a lower QED value.,CN(C)C(=O)CCNC(=O)c1cncnc1
LogP,Please optimize the molecule CCCOCCCC(CC)[NH2+]C to have a lower LogP value.,CCCOCCCC(CCC(=O)O)[NH2+]C
MR,Optimize the molecule CC1CCC(c2ccc(-c3cc(F)c(C=CC(F)(F)F)c(F)c3)c(F)c2)CC1 to have a higher MR value.,CC1CCC(c2ccc(-c3cc(F)c(C=CC(F)(F)F)c(F)c3)c(F)c2)C(O)C1
QED,Please modify the molecule Cc1cc2c3c(c1)C(c1ccc(O)cc1)=NC(NC(=O)c1cc[n+]([O-])cc1)C(=O)N3CC2 to decrease its QED value.,Cc1cc2c3c(c1)C(c1ccc(C(=O)[OH])cc1)=NC(NC(=O)c1cc[n+]([O-])cc1)C(=O)N3CC2
LogP,Please optimize the molecule O=C(CNC(=O)c1ccc(Cl)c(Cl)c1)NCC1(c2ccccc2)CCC1 to have a lower LogP value.,CC(NC(=O)c1ccc(NO)cc1)c1cccs1
MR,Optimize the molecule COC(=O)C1CCC2(CCN(C(=O)OC(C)(C)C)CC2)n2c(=O)n(Cc3ccc4c(c3)OCO4)c(=O)n21 to have a higher MR value.,CCCNC(=O)CN(C)C(=O)c1cc2ccccc2[nH]c1=O
QED,Please modify the molecule CCCCn1cc(S(=O)(=O)Nc2ccc(F)cc2)c2cccnc21 to increase its QED value.,CC(=O)N(CCC(=O)Nc1cccc(C#N)c1)Cc1ccccc1C
LogP,Modify the molecule CC(NC(=O)c1ccc(C#N)cc1)c1cccs1 to have a lower LogP value.,CC(NC(=O)c1ccc(NO)cc1)c1cccs1
MR,Modify the molecule Cc1cc(C)c(NC(=O)CN(C)C(=O)c2cc3ccccc3[nH]c2=O)c(C)c1 to decrease its MR value.,Cn1c2ccncc2c2ccc(-c3cnc(CCCOCCOCCOCCOCCO)cc3-c3ccccc3)cc21
QED,Modify the molecule CC(=O)N(CCC(=O)Nc1cccc(Cl)c1)Cc1ccccc1C to have a higher QED value.,CC(=O)N(CCC(=O)Nc1cccc(C#N)c1)Cc1ccccc1C
LogP,Please optimize the molecule Brc1cc(Br)nc(C2(c3ccccc3)CC2)n1 to have a lower LogP value.,CC(=O)c1cc(N)ccc1NCCc1ccnn1C
MR,Modify the molecule Cn1c2ccncc2c2ccc(-c3ccc(CCCOCCOCCOCCOCCO)nc3)cc21 to increase its MR value.,Cn1c2ccncc2c2ccc(-c3cnc(CCCOCCOCCOCCOCCO)cc3-c3ccccc3)cc21
QED,Modify the molecule Cc1ccc(-n2nc(C)c(-c3ccccc3)c2NC(=O)CN(C(=O)c2ccco2)C(C)C)cc1 to have a higher QED value.,CC1(C(C#N)C2CCC[NH2+]2)[NH2+]CCO1
LogP,Modify the molecule Cn1nccc1CCNc1ccc(N)cc1F to have a higher LogP value.,COc1ccc2sc3cccc(CC[NH+](C)C)c3c(=O)c2c1
MR,Modify the molecule COc1ccc(S(=O)(=O)C2CS(=O)(=O)CC2N2CC[NH+](Cc3ccccc3)CC2)cc1OC to increase its MR value.,COc1ccc(S(=O)(=O)C2CS(=O)(=O)CC2N2CC[NH+](Cc3ccccc3-c3ccccc3)CC2)cc1OC
QED,Please optimize the molecule CC1(CC2CCC[NH2+]2)[NH2+]CCO1 to have a higher QED value.,CC1(C(C#N)C2CCC[NH2+]2)[NH2+]CCO1
LogP,Modify the molecule COc1ccc2sc3cccc(NCC[NH+](C)C)c3c(=O)c2c1 to increase its LogP value.,COc1ccc2sc3cccc(CC[NH+](C)C)c3c(=O)c2c1
MR,Please modify the molecule Cc1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1F to decrease its MR value.,Cc1ccc(S(=O)(=O)c2ccc(C(F)(F)F)cc2)cc1F
QED,Modify the molecule O=C([O-])CS(=O)(=O)Cc1ccnc2ccccc12 to decrease its QED value.,CC(=O)c1ccccc1OCCSCC(=O)OCC
LogP,Please optimize the molecule Cc1cccc(OCCSCc2cccc(C(N)=S)c2)c1 to have a higher LogP value.,Cc1cccc(OCCSCc2cc(C(N)=S)ccc2-c2ccccc2)c1
MR,Please optimize the molecule CCC(Cl)CCCCCCCCCCCCCOC(C)=O to have a lower MR value.,C#CCOCCOc1ccc2c(c1)C(=O)N(C1CC1=O)C2=O
QED,Optimize the molecule CCOC(=O)CSCCOc1ccccc1C#N to have a lower QED value.,CC(=O)c1ccccc1OCCSCC(=O)OCC
LogP,Please modify the molecule O=C(NC1CCS(=O)(=O)C1)c1cnc(Cl)cn1 to decrease its LogP value.,O=C(CNC(=O)c1ccccc1)SCCS(=O)(=O)N1CCCC1C(=O)[O-]
