SubTask,Instruction,molecule
AddComponent,Please add a hydroxyl to the molecule CC1CCC(C)N(C(=O)N(CC(=O)[O-])C2CC2)C1.,CC1CCC(C)N(C(=O)N(C2CC2)C(O)C(=O)[O-])C1
SubComponent,Please substitute a halo in the molecule CCNc1nc(Cl)nc(NC(CC)CC)n1 with a aldehyde.,CC(=O)c1nc(NCC)nc(NC(CC)CC)n1
DelComponent,Please remove a amide from the molecule CC(C)C(NC(=O)C(CO)NC(=O)C([NH3+])C(C)O)C(=O)NC(C(=O)[O-])C(C)O.,CC(O)C([NH3+])C(=O)NC(CO)C(=O)N(C(C)C)C(C(=O)[O-])C(C)O
LogP,Modify the molecule CC(C)(C#N)CC[NH2+]CC1CC1 to decrease its LogP value.,CC(C)(CC[NH2+]CC1CC1)NO
MR,Modify the molecule CCCCCC(CCCc1ccccc1)O[SiH3] to have a higher MR value.,CCCCC(O)C(CCCc1ccccc1)O[SiH3]
QED,Please optimize the molecule Cc1cc2c(cc1S(=O)(=O)NC1CC([NH3+])C1)OCO2 to have a lower QED value.,Cc1cc2c(cc1S(=O)(=O)NC1CC([NH3+])C1O)OCO2
AtomNum,"Please generate a molecule with 16 carbon atoms, 1 nitrogen atom, and 1 sulfur atom.",Cc1cccc(C[NH+](C)CC(CS)C(C)(C)C)c1
BondNum,"There is a molecule composed of 7 single bonds, 2 double bonds, 6 rotatable bonds, and 17 aromatic bonds.",O=C(C=Cc1ccc(COc2ccccc2)o1)c1cccc(Br)c1
FunctionalGroup,"Please generate a molecule consisting 1 benzene ring group, 1 amide group, and 1 halo group.",Cc1ccc(F)cc1C(=O)Nc1cccc2ccccc12
AddComponent,Please add a carboxyl to the molecule CCC(CC)C(=O)Nc1nn(Cc2ccccc2F)cc1Cl.,CCC(C(=O)Nc1nn(Cc2ccccc2F)cc1Cl)C(C)C(=O)O
SubComponent,Substitute a Cc1c(C(=O)OC(C)C)sc2nc(Cl)nc(NC(C)C)c12 in the molecule halo with a hydroxyl.,Cc1c(C(=O)OC(C)C)sc2nc(O)nc(NC(C)C)c12
DelComponent,Modify the molecule CCC(C#N)Oc1ccc(S(N)(=O)=O)c(C)c1 by removing a nitrile.,CCCOc1ccc(S(N)(=O)=O)c(C)c1
LogP,Modify the molecule CCOC(=O)N1CCN(C(=O)CSc2nnc(-c3ccc(C(C)(C)C)cc3)n2CC)CC1 to have a higher LogP value.,CCOC(=O)N1CCC(Sc2nnc(-c3ccc(C(C)(C)C)cc3)n2CC)C1
MR,Modify the molecule CC1CN(S(=O)(=O)c2ccc(C(=O)NC(C)c3cccc(C(F)(F)F)c3)cc2)CC(C)O1 to have a higher MR value.,CC1CN(S(=O)(=O)c2ccc(C(=O)NC(C)(C(=O)O)c3cccc(C(F)(F)F)c3)cc2)CC(C)O1
QED,Modify the molecule COc1ccc(OC)c2c(C)c3ccnc(Cl)c3cc12 to increase its QED value.,COc1ccc(OC)c2c(C)c3ccnc(NO)c3cc12
AtomNum,"Please generate a molecule composed of 19 carbon atoms, 2 oxygen atoms, 5 nitrogen atoms, 3 sulfur atoms, and 1 bromine atom.",O=C(CSc1nnc(Nc2ccc(Oc3ccccc3)cc2)s1)Nc1ncc(Br)s1
BondNum,"The molecule consists of 9 single bonds, 4 rotatable bonds, and 6 aromatic bonds.",[NH3+]Cc1cccc(Cl)c1OCC1CC1
FunctionalGroup,"There is a molecule consisting of 1 benzene ring group, and 1 halo group.",CCCCCn1c(Cl)c(CCCC)n(Cc2ccc(-c3ccccc3-c3nn[n-]n3)cn2)c1=O
AddComponent,Modify the molecule C[NH2+]C(c1cc2cc(Cl)ccc2o1)c1ncccc1C by adding a hydroxyl.,C[NH2+]C(c1cc2cc(Cl)cc(O)c2o1)c1ncccc1C
SubComponent,Modify the molecule CC(C)OCCC[NH2+]Cc1ccc(C#N)s1 by substituting a nitrile with a aldehyde.,CC(=O)c1ccc(C[NH2+]CCCOC(C)C)s1
DelComponent,Modify the molecule Fc1ccc(Oc2ccc(Cl)nc2)cc1 by removing a halo.,Fc1ccc(Oc2cccnc2)cc1
LogP,Please modify the molecule CC1C(C)(C#N)SC(N)=[NH+]C1(C)c1cc(N)ccc1F to decrease its LogP value.,CC1C(C)(C#N)SC(N)=[NH+]C1(C)c1cccc(N)c1
MR,Modify the molecule CCOc1sc2ccc(N)cc2c1[S-] to have a higher MR value.,CCOc1sc2ccc(N)c(O)c2c1[S-]
QED,Modify the molecule CCOc1cccc(C(C(=O)[O-])N(C=O)C(C)C)c1 to decrease its QED value.,CCOC(C(=O)[O-])N(C=O)C(C)C
AtomNum,"Please generate a molecule consisting 16 carbon atoms, 1 nitrogen atom, 1 chlorine atom, and 1 bromine atom.",CCCc1cccc(C([NH3+])c2ccc(Cl)cc2Br)c1
BondNum,"Please generate a molecule with 16 single bonds, 5 rotatable bonds, and 6 aromatic bonds.",COc1c(CC2([NH3+])CC2)cccc1OC1CCC[NH2+]C1
FunctionalGroup,"The molecule has 3 benzene ring groups, 1 amide group, and 2 halo groups.",COC(=O)Nc1ccc(-c2cnnc(C(Cc3ccc(F)cc3)NC(=O)C=Cc3cc(Cl)ccc3-n3cnnn3)c2)cc1
AddComponent,Please add a benzene ring to the molecule Clc1ccc(-n2nnnc2SCc2nnc(Cc3ccccc3)o2)cc1.,Clc1ccc(-n2nnnc2SCc2nnc(Cc3ccccc3)o2)c(-c2ccccc2)c1
SubComponent,Please substitute a CCCCOC(=O)C(C)=CO in the molecule hydroxyl with a halo.,CCCCOC(=O)C(C)=CF
DelComponent,Remove a amine from the molecule CCOC(c1nc(N)cc(C(C)C)n1)C(C)C.,CCOC(c1nccc(C(C)C)n1)C(C)C
LogP,Modify the molecule CCC(=O)NCCCCCCCC(=O)NCCCCCCOC1OC(C(=O)[O-])C(OC2OC(C)C(O)C(O)C2NC(C)=O)C(O)C1OS(=O)[O-] to increase its LogP value.,CCC(=O)NCCCCCCCC(=O)NCCCCCCOC1OC(C(=O)[O-])C(OC2OC(C)C(S)C(O)C2NC(C)=O)C(O)C1OS(=O)[O-]
MR,Modify the molecule CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C to increase its MR value.,CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(O)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C
QED,Modify the molecule Cc1cc(Cl)ccc1NC(=O)CCS(=O)(=O)N1CCc2ccccc21 to have a lower QED value.,Cc1cc(Cl)ccc1NC(=O)C(N)CS(=O)(=O)N1CCc2ccccc21
AtomNum,"Please generate a molecule with 13 carbon atoms, 4 oxygen atoms, and 2 nitrogen atoms.",COC(=O)c1ccc(CN2C(=O)CCCC2=O)nc1
BondNum,"There is a molecule consisting of 10 single bonds, 3 rotatable bonds, and 12 aromatic bonds.",Cc1cc(F)c(Br)cc1NC(C)c1ccc(Cl)c(Cl)c1Cl
FunctionalGroup,"The molecule contains 1 benzene ring group, 1 amide group, and 2 amine groups.",COCCNC(=O)CCNc1ccccc1N
AddComponent,Modify the molecule Cc1csc2c(-n3nc(Nc4ccc(N5CC[NH+](C6CC7CCC6C7)CC5)c(F)c4)nc3N)ncnc12 by adding a benzene ring.,Cc1c(-c2ccccc2)sc2c(-n3nc(Nc4ccc(N5CC[NH+](C6CC7CCC6C7)CC5)c(F)c4)nc3N)ncnc12
SubComponent,Modify the molecule halo by substituting a Cc1ccc(C(COC(C)C)NN)c(Br)c1 with a carboxyl.,Cc1ccc(C(COC(C)C)NN)c(C(=O)[OH])c1
DelComponent,Remove a benzene ring from the molecule CCC(C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)[NH+](CC)C3CCCCC3)cc1)C2c1ccc(Cl)cc1.,CCC(C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)[NH+](CC)C3CCCCC3)cc1)C2Cl
LogP,Please optimize the molecule O=C([O-])C1(c2cc3c(cc2Cl)OC2(CCC2)O3)CCC1 to have a lower LogP value.,N#Cc1cc2c(cc1C1(C(=O)[O-])CCC1)OC1(CCC1)O2
MR,Please optimize the molecule Cc1cc(OC(=O)CCNC(=O)c2ccco2)cc(C(C)C)c1 to have a lower MR value.,CC(C)(C)OC(=O)CCNC(=O)c1ccco1
QED,Please optimize the molecule COc1ccc(OC)c(S(=O)(=O)N2CCCC(C(=O)Nc3cccc(C(F)(F)F)c3)C2)c1 to have a higher QED value.,COc1ccc(OC)c(S(=O)(=O)N2CCCC2c2cccc(C(F)(F)F)c2)c1
AtomNum,"Please generate a molecule composed of 15 carbon atoms, 1 oxygen atom, and 2 nitrogen atoms.",COc1cc2nc(C#N)ccc2cc1C(C)(C)C
BondNum,"There is a molecule consisting of 16 single bonds, 4 double bonds, and 1 rotatable bond.",CC(=O)OC(=O)C1CCCC2C(=O)OC(=O)C2CC1
FunctionalGroup,"The molecule contains 1 benzene ring group, 1 amide group, and 1 amine group.",Cc1ccc(CC(=O)NCC(C)(C)C(N)=S)cc1C
AddComponent,Please add a hydroxyl to the molecule Brc1ccc(-c2csc(NN=Cc3c[nH]c4ccccc34)n2)cc1.,Oc1ccc2c(C=NNc3nc(-c4ccc(Br)cc4)cs3)c[nH]c2c1
SubComponent,Modify the molecule O=C(NC[NH+]1CC(=CCl)CC1c1nc2ccccc2[nH]1)c1ccccc1 by substituting a halo with a nitro.,ONC=C1CC(c2nc3ccccc3[nH]2)[NH+](CNC(=O)c2ccccc2)C1
DelComponent,Remove a amide from the molecule C=C(C)c1cccc(NC(=O)Cc2ccccc2)c1Cl.,C=C(C)c1cccc(-c2ccccc2)c1Cl
LogP,Please modify the molecule O=C(NCC1CCSC1)c1ccc(O)cc1F to decrease its LogP value.,O=C(NCC1CCSC1)c1ccc(O)cc1O
MR,Please modify the molecule CC(=O)NCCNS(=O)(=O)c1cc(C)c(C)cc1N to decrease its MR value.,CC(=O)NCCNS(=O)(=O)CCN
QED,Modify the molecule Cc1ccc(F)cc1CN(CCBr)CC(F)(F)F to decrease its QED value.,Cc1ccc(F)c(-c2ccccc2)c1CN(CCBr)CC(F)(F)F
AtomNum,"Please generate a molecule consisting 24 carbon atoms, 2 oxygen atoms, 4 nitrogen atoms, and 1 fluorine atom.",CCNC(=[NH+]CCCCn1c(C)cccc1=O)N1CC(C)OC(c2ccc(F)cc2)C1
BondNum,"There is a molecule composed of 12 single bonds, 3 double bonds, and 3 rotatable bonds.",CC(C)([NH3+])CNC(=O)C1CCS(=O)(=O)C1
FunctionalGroup,"There is a molecule consisting of 1 benzene ring group, 1 hydroxyl group, 1 ester group, and 1 nitrile group.",CCCOC(=O)CCC(O)c1ccc(OC)c(C#N)c1
AddComponent,Modify the molecule Fc1cccnc1NCc1cccc(Br)c1 by adding a benzene ring.,Fc1cc(-c2ccccc2)cnc1NCc1cccc(Br)c1
SubComponent,Please substitute a halo in the molecule CNc1cc(F)cc2c1[nH]c1nc(Oc3nnc(C)s3)nc(N3CC4CC3CC4[NH3+])c12 with a nitrile.,CNc1cc(C#N)cc2c1[nH]c1nc(Oc3nnc(C)s3)nc(N3CC4CC3CC4[NH3+])c12
DelComponent,Modify the molecule halo by removing a CCOC(=O)c1ccc(CCc2ccc(NC(=O)c3c(NC(=O)c4cccc(C[NH+](C5CCC(C(=O)CCCI)CC5)C5CC5)c4)sc4c3CCCC4)cc2)cc1.,CCCC(=O)C1CCC([NH+](Cc2cccc(C(=O)Nc3sc4c(c3C(=O)Nc3ccc(CCc5ccc(C(=O)OCC)cc5)cc3)CCCC4)c2)C2CC2)CC1
LogP,Please modify the molecule Cc1cc(CNC(=O)NC2CCCC2(C)C(=O)[O-])on1 to decrease its LogP value.,CC1(C(=O)[O-])CCCC1NC(=O)NCc1cc(CN)no1
MR,Please optimize the molecule CN(C)c1cccc(C(=O)N2CCCCC2c2ccc(C[NH+](C)C)cc2)c1 to have a higher MR value.,CN(C)c1cccc(C(=O)N2CCCCC2(N)c2ccc(C[NH+](C)C)cc2)c1
QED,Modify the molecule O=C1CCCc2[nH]c(=O)c(C(=O)N3CCN(c4ccc(F)cc4)CC3)cc21 to have a lower QED value.,O=C([OH])c1ccc(N2CCN(C(=O)c3cc4c([nH]c3=O)CCCC4=O)CC2)cc1
AtomNum,"There is a molecule composed of 16 carbon atoms, 7 oxygen atoms, 2 nitrogen atoms, and 1 phosphorus atom.",CCC(CC)(C1C(=O)N(CC2CO2)C(=O)N1CC1CO1)C(C)P(=O)([O-])[O-]
BondNum,"There is a molecule composed of 60 single bonds, 4 double bonds, and 17 rotatable bonds.",CCC(C)(CC(C)(CC(C)(CC(C)(C)C(=O)[O-])C(=O)OC1(C)C2CC3CC(C2)CC1C3)C(=O)OC1CC2CCC1(C)C2(C)C)C(=O)OCOCC1C2CCC(C2)C1C
FunctionalGroup,The molecule is composed of and 4 amide groups.,NC(=O)CC([NH3+])C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)[O-]
AddComponent,Please add a benzene ring to the molecule Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)NCCCC(=O)Nc1ccc(Cl)cc1.,Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)NC(CCC(=O)Nc1ccc(Cl)cc1)c1ccccc1
SubComponent,Modify the molecule thiol by substituting a Cc1nc2ccccc2n1SS with a halo.,Cc1nc2ccccc2n1SF
DelComponent,Remove a halo from the molecule CCS(=O)(=O)N1CC2CN(c3ncccc3Cl)CC2(C(=O)[O-])C1.,CCS(=O)(=O)N1CC2CN(c3ccccn3)CC2(C(=O)[O-])C1
LogP,Modify the molecule CC(C)(O)CCCCCCC(Cl)(Cl)Cl to have a lower LogP value.,CC(C)(O)CCCCCCC(Cl)(Cl)C(=O)[OH]
MR,Optimize the molecule COCC(CO)[NH2+]C1CCCc2cccnc21 to have a lower MR value.,COCC(C)[NH2+]C1CCCc2cccnc21
QED,Please optimize the molecule COc1cc([N+](=O)[O-])ccc1Oc1cc(C)nc(Cl)n1 to have a lower QED value.,Cc1cc(Oc2ccc([N+](=O)[O-])cc2OCc2ccccc2)nc(Cl)n1
AtomNum,"Please generate a molecule with 18 carbon atoms, 5 oxygen atoms, 3 nitrogen atoms, and 1 sulfur atom.",Cc1ccc(NC(=O)C2CC2)cc1NS(=O)(=O)c1cccc([N+](=O)[O-])c1C
BondNum,"The molecule has 19 single bonds, 1 double bond, 5 rotatable bonds, and 23 aromatic bonds.",Cc1cccc(-n2cnc3c2C(=O)CC(c2ccc(-c4ccccc4C[NH+]4CCC(O)CC4)cc2)[NH2+]C3)c1
FunctionalGroup,"Please generate a molecule with 1 benzene ring group, and 5 halo groups.",FC(F)Oc1cc(I)c(Br)cc1Br
AddComponent,Add a benzene ring to the molecule COc1ccc(-c2cc(CN(Cc3ccccc3)C(=O)C3CC3)no2)cc1OC.,COc1ccc(-c2cc(CN(Cc3ccccc3)C(=O)C3CC3)no2)c(-c2ccccc2)c1OC
SubComponent,Modify the molecule hydroxyl by substituting a O=S(=O)(Nc1cc(-c2ccc3[nH+]cc(C#CC4(O)CCOC4)n3n2)cnc1Cl)c1ccc(F)cc1 with a halo.,O=S(=O)(Nc1cc(-c2ccc3[nH+]cc(C#CC4(Cl)CCOC4)n3n2)cnc1Cl)c1ccc(F)cc1
DelComponent,Modify the molecule COc1cc(C=C2SC(N3CC[NH+](C)CC3)=[NH+]C2=O)ccc1-c1ccc(C)cc1 by removing a amide.,COc1cc(C2SC2N2CC[NH+](C)CC2)ccc1-c1ccc(C)cc1
LogP,Please modify the molecule CC(NC(=O)C(F)F)c1ncn(C)n1 to increase its LogP value.,Cn1cnc(C(C)(NC(=O)C(F)F)c2ccccc2)n1
MR,Modify the molecule COc1ccc(C(=O)C2CCCN(C(=O)c3ccc(-n4ccnc4)cc3)C2)cc1F to have a higher MR value.,COc1ccc(C(=O)C2CCCN(C(=O)c3ccc(-n4ccnc4)cc3)C2)cc1NO
QED,Please optimize the molecule O=C1c2cccc(N3CC[NH+](Cc4cccc5cccnc45)CC3)c2C(=O)N1Cc1cccc(C(F)(F)F)c1 to have a lower QED value.,O=C1c2cccc(N3CC[NH+](Cc4cccc5cccnc45)C(c4ccccc4)C3)c2C(=O)N1Cc1cccc(C(F)(F)F)c1
AtomNum,"The molecule consists of 20 carbon atoms, 3 oxygen atoms, and 4 nitrogen atoms.",Cc1ccccc1-n1cc(C(=O)N2CCCC([NH+](C)CC(=O)[O-])CC2)cn1
BondNum,"Please generate a molecule with 9 single bonds, 9 rotatable bonds, and 75 aromatic bonds.",c1ccc(-c2ccccc2-c2ccc(-c3ccc(-c4cccc(-c5cccc(-c6cccc(-c7c8ccccc8c(-c8ccc(-c9ccc%10ccccc%10c9)cc8)c8ccccc78)c6)c5)c4)cc3)cc2)cc1
FunctionalGroup,"Please generate a molecule composed of 1 benzene ring group, 2 amide groups, 1 thioether group, 1 nitrile group, and 2 sulfide groups.",CCn1c(CNC(=O)c2ccc(OC)c(OC)c2)nnc1SCC(=O)Nc1sc2c(c1C#N)CCCC2
AddComponent,Please add a aldehyde to the molecule COc1ccc(C(=O)Oc2ccc(C=C3SC(=O)N(CC(=O)OCC(C)C)C3=O)cc2)cc1.,COc1ccc(C(=O)Oc2ccc(C=C3SC(=O)N(CC(=O)OC(CC=O)C(C)C)C3=O)cc2)cc1
SubComponent,Modify the molecule halo by substituting a Cc1onc(-c2c(F)cccc2Cl)c1C(N)=[NH+]OC(=O)c1ccco1 with a nitrile.,Cc1onc(-c2c(Cl)cccc2C#N)c1C(N)=[NH+]OC(=O)c1ccco1
DelComponent,Remove a Cc1ccc(C(C)(C)C)c(Oc2cccc(F)n2)c1 from the molecule halo.,Cc1ccc(C(C)(C)C)c(Oc2ccccn2)c1
LogP,Please modify the molecule CCOC(=O)C1=C(C)N=c2sc(=Cc3cc(C)n(-c4ccc(OCc5ccc(Br)cc5)cc4)c3C)c(=O)n2C1c1ccccc1Cl to decrease its LogP value.,CCOC(=O)C1=C(C)N=c2sc(=Cc3cc(C)n(-c4ccc(OCc5ccc(O)cc5)cc4)c3C)c(=O)n2C1c1ccccc1Cl
MR,Please modify the molecule O=C([O-])c1cc(CNC(=O)N2CCOCC2)c2ccc(Cc3cccc(Cl)c3F)cn2c1=O to increase its MR value.,O=C([O-])c1cc(CNC(=O)N2CCOCC2)c2ccc(Cc3cccc(Cl)c3)cn2c1=O
QED,Optimize the molecule CN(CCc1ccccn1)C(=O)C=Cc1cn(C)c2ccccc12 to have a lower QED value.,CN(CCc1ccc(-c2ccccc2)cn1)C(=O)C=Cc1cn(C)c2ccccc12
AtomNum,"There is a molecule composed of 10 carbon atoms, 2 oxygen atoms, and 3 nitrogen atoms.",CCC(C)(OC)C(=O)NCc1ncc[nH]1
BondNum,"The molecule has 11 single bonds, 1 double bond, 4 rotatable bonds, and 10 aromatic bonds.",Cc1ccc2sc(C(=O)NCC(C)(C)C(C)C)c(N)c2c1
FunctionalGroup,"There is a molecule consisting of 1 benzene ring group, and 1 amide group.",CC[NH2+]CC1CCN(C(=O)c2ccc(-n3cc(C)cn3)cc2)CC1
AddComponent,Modify the molecule CCOC(c1noc(C2[NH2+]CCC2C)n1)C(C)C by adding a benzene ring.,CCOC(c1ccccc1)(c1noc(C2[NH2+]CCC2C)n1)C(C)C
SubComponent,Please substitute a Cc1oc(C(=O)[O-])cc1C[NH2+]CC(C)(O)CO in the molecule hydroxyl with a halo.,Cc1oc(C(=O)[O-])cc1C[NH2+]CC(C)(I)CO
DelComponent,Modify the molecule benzene ring by removing a Cc1cccc(C[NH2+]C(CCO)c2ccccc2)c1.,CC[NH2+]C(CCO)c1ccccc1
LogP,Please optimize the molecule CC(C)(O)C([NH3+])C1=CCC=C1 to have a higher LogP value.,CC(C)(O)C([NH3+])C1=CCC=C1c1ccccc1
MR,Please optimize the molecule SCCCCCCCCCCc1ccsc1 to have a lower MR value.,ClCCCCCCCCCCc1ccsc1
QED,Please optimize the molecule CC(C)(C[NH3+])c1nccc(-c2ccccc2)n1 to have a lower QED value.,CC(C)(C[NH3+])c1nc(CC=O)cc(-c2ccccc2)n1
AtomNum,"There is a molecule consisting of 42 carbon atoms, 6 oxygen atoms, and 10 nitrogen atoms.",COC(=O)NC(C(=O)N1CCCC1c1[nH]c(-c2ccc3cc(-c4ccc(-c5c[nH+]c(C6CCCN6C(=O)C(C(C)C)N(C)C(=O)[O-])[nH]5)cn4)ncc3c2)c[nH+]1)C(C)C
BondNum,"The molecule is composed of 11 single bonds, 6 rotatable bonds, and 11 aromatic bonds.",Clc1ccc(OCCSc2nncn2C2CC2)c(Br)c1
FunctionalGroup,"Please generate a molecule consisting 2 hydroxyl groups, 2 thioether groups, and 2 sulfide groups.",CC1(C=NO)CSC(=NO)S1
AddComponent,Add a nitrile to the molecule Cc1cccc(-c2ccc(C(=O)N3CCC(NS(=O)(=O)c4ccc(F)cc4)CC3)c(=O)[nH]2)c1.,Cc1cccc(-c2ccc(C(=O)N3CCC(NS(=O)(=O)c4ccc(F)cc4C#N)CC3)c(=O)[nH]2)c1
SubComponent,Please substitute a halo in the molecule CCOCCCC(CNC(=O)OC(C)(C)C)(C(=O)[O-])c1ccccc1F with a nitrile.,CCOCCCC(CNC(=O)OC(C)(C)C)(C(=O)[O-])c1ccccc1C#N
DelComponent,Please remove a CCc1ccc(C([NH3+])Cc2ccc(I)cc2)o1 from the molecule benzene ring.,CCc1ccc(C([NH3+])CI)o1
LogP,Modify the molecule Cc1cc2c(cc1CNC(=O)C(O)C[NH3+])OCO2 to have a higher LogP value.,Cc1cc2c(cc1CC([NH3+])O)OCO2
MR,Optimize the molecule CC(C#N)C(=O)NCc1cccnn1 to have a higher MR value.,CC(=O)C(C)C(=O)NCc1cccnn1
QED,Modify the molecule O=C([O-])CC(O)C[NH2+]CC1(O)CCOC1 to increase its QED value.,CC(=O)C(C[NH2+]CC1(O)CCOC1)CC(=O)[O-]
AtomNum,"There is a molecule composed of 25 carbon atoms, 3 oxygen atoms, and 2 nitrogen atoms.",COc1cc(C=C(C#N)C(=O)NC2CCCCC2)ccc1OCc1ccccc1C
BondNum,"There is a molecule with 12 single bonds, 2 double bonds, 1 triple bond, 4 rotatable bonds, and 5 aromatic bonds.",CCOC(=O)C=C(C)Nc1sc2c(c1C#N)CCC2
FunctionalGroup,The molecule has and 1 benzene ring group.,O=C([O-])c1cc(COCC=Cc2ccccc2)ccn1
AddComponent,Modify the molecule COc1cc(C(=O)NCC23CC4CC(CC(C4)C2)C3)cc(OC)c1Br by adding a aldehyde.,COc1cc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c(CC=O)c(OC)c1Br
SubComponent,Substitute a hydroxyl in the molecule CCN(CC)C(=O)C(C)[NH+]1CC(C)OC(CO)C1 with a nitro.,CCN(CC)C(=O)C(C)[NH+]1CC(C)OC(CNO)C1
DelComponent,Modify the molecule Cn1nc2c(CC(=O)[O-])cccc2c1Br by removing a halo.,Cn1cc2cccc(CC(=O)[O-])c2n1
LogP,Please modify the molecule Cc1ccc2[nH]nc(C(=O)NCCc3ccc(CO)cc3)c2c1 to increase its LogP value.,Cc1ccc(CCNC(=O)c2n[nH]c3ccc(C)cc23)cc1
MR,Please optimize the molecule CCCN(Cc1csc(COc2ccc(C)c(C)c2)n1)C(=O)c1ccc(OC)cc1 to have a higher MR value.,CCCN(Cc1csc(COc2ccc(C)c(C)c2)n1)C(=O)c1ccc(OC)c(N)c1
QED,Please modify the molecule CCS(=O)(=O)N1CCN(C(=O)c2cc(Cl)c3c(c2)OCO3)CC1 to decrease its QED value.,CC(=O)c1cc(C(=O)N2CCN(S(=O)(=O)CC)CC2)cc2c1OCO2
AtomNum,"Please generate a molecule with 14 carbon atoms, 2 oxygen atoms, 2 nitrogen atoms, and 3 fluorine atoms.",O=C(C1CCNc2ccccc21)N(CCO)CC(F)(F)F
BondNum,"There is a molecule with 41 single bonds, 2 double bonds, 8 rotatable bonds, and 18 aromatic bonds.",CC(=O)N1CC[NH+]2CC(CO[Si](C)(C)C(C)(C)C)N(c3cc(-c4ccc(F)cc4C)c(N(C)C(=O)C(C)(C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cn3)CC2C1
FunctionalGroup,"Please generate a molecule with 3 benzene ring groups, 1 hydroxyl group, 2 amide groups, and 1 amine group.",C=CC(=O)Nc1cccc(C(=O)Nc2cccc(C(C)Nc3cncc(-c4ccc(O)c(OC)c4)n3)c2)c1
AddComponent,Add a hydroxyl to the molecule CC1=CCCN(C(=O)N(CC(=O)[O-])C(C)C)C1.,CC1=CCCN(C(=O)N(CC(=O)[O-])C(C)CO)C1
SubComponent,Modify the molecule halo by substituting a Cc1ccc(Br)cc1NC(=O)c1ccc(Cl)o1 with a carboxyl.,Cc1ccc(C(=O)[OH])cc1NC(=O)c1ccc(Cl)o1
DelComponent,Remove a hydroxyl from the molecule CCOc1c(OC)cccc1C1=C(O)C(=O)N(c2cccc(C(=O)OC)c2)C1c1cn(C)c2ccc(OC)cc12.,CCOc1c(OC)cccc1C1=CC(=O)N(c2cccc(C(=O)OC)c2)C1c1cn(C)c2ccc(OC)cc12
LogP,Please modify the molecule ClC(Cl)Oc1cccc2ccccc12 to decrease its LogP value.,ClCOc1cccc2ccccc12
MR,Modify the molecule Cc1ccc(C(CCC2CC2)NN)cc1C to decrease its MR value.,CC(C)(CCC1CC1)NN
QED,Modify the molecule CC(C)S(=O)(=O)c1ccc(Oc2ccc(F)cc2F)c(Br)c1 to have a lower QED value.,CC(C)S(=O)(=O)c1ccc(Oc2ccc(F)cc2F)c(Br)c1-c1ccccc1
AtomNum,"The molecule is composed of 12 carbon atoms, 2 nitrogen atoms, 1 sulfur atom, and 1 bromine atom.",N#CC(c1cc(Br)cs1)N1CCCCCC1
BondNum,"The molecule has 8 single bonds, 1 double bond, 1 triple bond, and 6 aromatic bonds.",N#Cc1c2c(c(=S)n(N)c1N)CCCC2
FunctionalGroup,"The molecule is composed of 1 benzene ring group, and 1 hydroxyl group.",COc1cccc(CC[NH2+]C(C)(C)CO)c1
AddComponent,Modify the molecule O=C(CC1CSc2nc3c(cnn3-c3ccccc3)c(=O)n21)N1CCCC1 by adding a amine.,NC1CCCN1C(=O)CC1CSc2nc3c(cnn3-c3ccccc3)c(=O)n21
SubComponent,Substitute a halo in the molecule Fc1cccc(Cl)c1COc1ccc(Cl)cc1C[NH2+]C1CCCCCCC1 with a carboxyl.,O=C([OH])c1cccc(Cl)c1COc1ccc(Cl)cc1C[NH2+]C1CCCCCCC1
DelComponent,Remove a amine from the molecule CC1CNc2ccccc2N1CC1CCC1.,CC1Cc2ccccc2N1CC1CCC1
LogP,Modify the molecule COc1cccc(C(=O)NCCNC(=O)C(C)C)c1OC(F)F to increase its LogP value.,COc1cccc(C(=O)NCC(NC(=O)C(C)C)c2ccccc2)c1OC(F)F
MR,Please modify the molecule CC(C)c1ccc(C=O)c(O)c1O to increase its MR value.,CC(C)c1ccc(C=O)c(C(=O)[OH])c1O
QED,Modify the molecule Cn1cnc(C(O)c2cncc3ccccc23)c1 to have a lower QED value.,Cn1cnc(C(NO)c2cncc3ccccc23)c1
AtomNum,"There is a molecule with 19 carbon atoms, 2 oxygen atoms, and 3 nitrogen atoms.",Cc1cc(C(=O)N(Cc2ccccc2)CC2(C)CCOCC2)n[nH]1
BondNum,"The molecule contains 23 single bonds, 2 double bonds, 5 rotatable bonds, and 12 aromatic bonds.",CNc1nc(C2CCCN2C(C)=O)nc2c1CC[NH+](Cc1ccc(N3CCCC3=O)cc1)C2
